margREDS,n,landing,coverage
BDG,31,0,1
BRG,420,4464,0.992857142857143
CRS,73,0,1
ERK,533,106434,0.981238273921201
MNT,249,0,1
MRO,201,0,1
OSF,65,0,1
HKL,128,0,1
NET,24,0,1
TWL,1420,110898,0.990845070422535
1978,124,0,1
1979,102,0,1
1980,271,3996,0.992619926199262
1981,237,468,0.9957805907173
1982,249,4155,0.991967871485944
1983,312,99338,0.977564102564103
1984,277,2941,0.996389891696751
Q1,277,1180,0.992779783393502
Q2,441,94552,0.988662131519274
Q3,534,11104,0.99438202247191
Q4,320,4062,0.990625
