"marginalBRNZ","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,0,0.214723926380368
"CRS",50,0,0.1
"ERK",323,0,0.0897832817337461
"MNT",108,0,0.175925925925926
"MRO",138,766,0.22463768115942
"OSF",29,0,0.172413793103448
"HKL",110,766,0.318181818181818
"NET",6,0,0
"TWL",867,0,0.146482122260669
"1978",124,0,0.129032258064516
"1979",102,766,0.274509803921569
"1980",271,0,0.03690036900369
"1981",237,0,0.29535864978903
"1982",249,0,0.152610441767068
"Q1",162,0,0.0617283950617284
"Q2",289,0,0.183391003460208
"Q3",340,766,0.147058823529412
"Q4",192,0,0.255208333333333
