margEGLS,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.389570552147239
CRS,50,0,0.42
ERK,323,0,0.402476780185758
MNT,108,1398,0.268518518518519
MRO,138,0,0.623188405797101
OSF,29,0,0.517241379310345
HKL,110,0,0.809090909090909
NET,6,0,0.166666666666667
TWL,867,1398,0.3760092272203
1978,124,0,0.32258064516129
1979,102,0,0.490196078431373
1980,271,1398,0.354243542435424
1981,237,0,0.30379746835443
1982,249,0,0.634538152610442
Q1,162,0,0.549382716049383
Q2,289,0,0.242214532871972
Q3,340,1398,0.423529411764706
Q4,192,0,0.588541666666667
