margBLGL,n,landing,coverage
BDG,56,4309,0.928571428571429
BRG,457,411237,0.894967177242888
CRS,82,637,0.98780487804878
ERK,594,158,0.998316498316498
MNT,344,227088,0.857558139534884
MRO,266,234376,0.87218045112782
OSF,104,67770,0.932692307692308
HKL,138,46463,0.985507246376812
NET,47,114146,0.978723404255319
TWL,1718,784966,0.917927823050058
1978,124,4619,0.975806451612903
1979,102,53466,0.941176470588235
1980,271,131418,0.974169741697417
1981,237,18681,0.978902953586498
1982,249,171755,0.963855421686747
1983,312,298250,0.916666666666667
1984,277,76500,0.906137184115523
1985,331,190886,0.812688821752266
Q1,339,218737,0.914454277286136
Q2,531,137432,0.947269303201507
Q3,645,347976,0.93953488372093
Q4,388,241430,0.876288659793814
