margBLGL,n,landing,coverage
BDG,56,4309,0.946428571428571
BRG,457,411237,0.960612691466083
CRS,82,637,1
ERK,594,158,1
MNT,344,227088,0.924418604651163
MRO,266,234376,0.924812030075188
OSF,104,67770,0.990384615384615
HKL,138,46463,0.992753623188406
NET,47,114146,0.978723404255319
TWL,1718,784966,0.961583236321304
1978,124,4619,0.991935483870968
1979,102,53466,0.990196078431373
1980,271,131418,0.981549815498155
1981,237,18681,0.9957805907173
1982,249,171755,0.971887550200803
1983,312,298250,0.967948717948718
1984,277,76500,0.963898916967509
1985,331,190886,0.900302114803625
Q1,339,218737,0.958702064896755
Q2,531,137432,0.971751412429379
Q3,645,347976,0.978294573643411
Q4,388,241430,0.935567010309278
