margGSPT,n,landing,coverage
BRG,6,12101,0.833333333333333
MNT,88,3696,1
MRO,64,34600,0.984375
OSF,52,15814,0.961538461538462
HKL,1,0,1
NET,8,0,1
TWL,201,66211,0.980099502487562
1978,57,6413,1
1980,61,20705,0.950819672131147
1981,42,37392,0.976190476190476
1982,50,1701,1
Q1,43,2118,1
Q2,73,20705,0.958904109589041
Q3,54,31249,1
Q4,40,12139,0.975
