margSABL,n,landing,coverage
BRG,6,0,1
MNT,88,4753,0.772727272727273
MRO,64,0,0.6875
OSF,52,0,0.865384615384615
HKL,1,0,1
NET,8,0,1
TWL,201,4753,0.766169154228856
1978,57,4753,0.929824561403509
1980,61,0,0.80327868852459
1981,42,0,0.904761904761905
1982,50,0,0.46
Q1,43,4753,0.767441860465116
Q2,73,0,0.657534246575342
Q3,54,0,0.777777777777778
Q4,40,0,1
