"marginalSSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,5376,0.803680981595092
"CRS",50,0,0.94
"ERK",323,250,0.990712074303406
"MNT",108,1340,0.944444444444444
"MRO",138,17160,0.971014492753623
"OSF",29,1189,0.655172413793103
"HKL",110,0,0.972727272727273
"NET",6,0,1
"TWL",867,25315,0.899653979238754
"1978",124,250,0.991935483870968
"1979",102,0,0.980392156862745
"1980",271,6565,0.822878228782288
"1981",237,0,0.864978902953586
"1982",249,18500,0.971887550200803
"Q1",162,1189,0.95679012345679
"Q2",289,19275,0.903114186851211
"Q3",340,4851,0.847058823529412
"Q4",192,0,0.984375
