"marginalGBLC","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.193181818181818
"MRO",64,15254,0.59375
"OSF",52,0,0.346153846153846
"HKL",1,0,1
"NET",8,0,1
"TWL",201,15254,0.318407960199005
"1978",57,0,0.245614035087719
"1980",61,4068,0.508196721311475
"1981",42,8019,0.571428571428571
"1982",50,3167,0.08
"Q1",43,3167,0.0930232558139535
"Q2",73,0,0.438356164383562
"Q3",54,0,0.37037037037037
"Q4",40,12087,0.425
