species,mad
CWCD,6.06131415256636e-06
GSPT,6.28296507564577e-06
SHRP,6.29665335507839e-06
RSTN,6.29883124474012e-06
REDS,6.35537954861975e-06
ROSY,6.40682989294381e-06
GBLC,6.40727242952664e-06
CMEL,6.40779187491991e-06
BRNZ,6.40937250819997e-06
OLVE,6.42697841963379e-06
FLAG,6.4680662052966e-06
SBLY,6.47900470949182e-06
STAR,6.51588235817231e-06
RDBD,6.52680463199255e-06
YMTH,6.54116207077298e-06
COPP,6.59560781038591e-06
BRWN,6.69675888233208e-06
GSRK,6.80805993728735e-06
SNOS,6.88743909376125e-06
POP,7.11706431109222e-06
DBRK,7.1720227568138e-06
VRML,7.30489481400764e-06
PNKR,7.71561294111097e-06
CLPR,8.27777025314279e-06
BLUR,8.77278325623294e-06
ARRA,8.97926431208168e-06
YEYE,9.01569325907996e-06
GRAS,9.27903688412926e-06
REYE,9.33229650694742e-06
QLBK,9.44123976396992e-06
SPKL,9.44711829313285e-06
BLCK,1.00222387743102e-05
CNRY,1.00418659764148e-05
WDOW,1.05489194038238e-05
SLGR,1.08886823760949e-05
YTRK,1.11295335145062e-05
BANK,1.22108946290639e-05
BLGL,1.55145641756057e-05
BCAC,1.74543069050483e-05
MXRF,1.9288353277353e-05
SRKR,1.93537145071726e-05
SWSP,1.98769085897102e-05
STRK,2.02131306913702e-05
TIGR,2.94615218007868e-05
