"marginalRDBD","n","landing","coverage"
"BRG",6,0,0.5
"MNT",88,0,0.181818181818182
"MRO",64,2654,0.1875
"OSF",52,2783,0.346153846153846
"HKL",1,0,1
"NET",8,0,0.125
"TWL",201,5437,0.233830845771144
"1978",57,2783,0.315789473684211
"1980",61,0,0.295081967213115
"1981",42,2654,0.30952380952381
"1982",50,0,0
"Q1",43,0,0.232558139534884
"Q2",73,0,0.123287671232877
"Q3",54,2783,0.222222222222222
"Q4",40,2654,0.45
