margOLVE,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.904907975460123
CRS,50,0,1
ERK,323,0,1
MNT,108,7525,0.981481481481482
MRO,138,17817,0.971014492753623
OSF,29,0,1
HKL,110,24120,0.954545454545455
NET,6,0,1
TWL,867,1222,0.963091118800461
1978,124,0,1
1979,102,4165,0.970588235294118
1980,271,6674,0.996309963099631
1981,237,374,0.915611814345992
1982,249,14129,0.947791164658635
Q1,162,0,1
Q2,289,5016,0.920415224913495
Q3,340,19210,0.994117647058824
Q4,192,1116,0.9375
