margOLVE,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.45398773006135
CRS,50,0,1
ERK,323,0,0.941176470588235
MNT,108,7525,0.953703703703704
MRO,138,17817,0.956521739130435
OSF,29,0,0.827586206896552
HKL,110,24120,0.936363636363636
NET,6,0,1
TWL,867,1222,0.761245674740484
1978,124,0,0.532258064516129
1979,102,4165,0.823529411764706
1980,271,6674,0.826568265682657
1981,237,374,0.763713080168776
1982,249,14129,0.859437751004016
Q1,162,0,0.981481481481482
Q2,289,5016,0.826989619377163
Q3,340,19210,0.626470588235294
Q4,192,1116,0.822916666666667
