margSHRP,n,landing,coverage
BDG,9,0,0.111111111111111
BRG,326,3698,0.257668711656442
CRS,50,0,0.18
ERK,323,0,0.396284829721362
MNT,108,0,0.574074074074074
MRO,138,0,0.449275362318841
OSF,29,0,0.241379310344828
HKL,110,0,0.518181818181818
NET,6,0,0.833333333333333
TWL,867,3698,0.335640138408304
1978,124,0,0.0403225806451613
1979,102,3698,0.313725490196078
1980,271,0,0.376383763837638
1981,237,0,0.607594936708861
1982,249,0,0.281124497991968
Q1,162,0,0.567901234567901
Q2,289,0,0.391003460207612
Q3,340,1139,0.197058823529412
Q4,192,2559,0.421875
