margBRNZ,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.343558282208589
CRS,50,0,0.48
ERK,323,0,0.0897832817337461
MNT,108,0,0.481481481481481
MRO,138,766,0.166666666666667
OSF,29,0,0.379310344827586
HKL,110,766,0.2
NET,6,0,0.166666666666667
TWL,867,0,0.262975778546713
1978,124,0,0.145161290322581
1979,102,766,0.411764705882353
1980,271,0,0.416974169741697
1981,237,0,0.177215189873418
1982,249,0,0.144578313253012
Q1,162,0,0.283950617283951
Q2,289,0,0.262975778546713
Q3,340,766,0.344117647058824
Q4,192,0,0.0625
