margBCAC,n,landing,coverage
BDG,9,689945,0.666666666666667
BRG,326,4401338,0.662576687116564
CRS,50,570089,0.86
ERK,323,2934116,0.718266253869969
MNT,108,2426405,0.657407407407407
MRO,138,1605793,0.594202898550725
OSF,29,1665847,0.517241379310345
HKL,110,906394,0.6
NET,6,20053,0.666666666666667
TWL,867,13367086,0.686274509803922
1978,124,1320166,0.612903225806452
1979,102,1408999,0.676470588235294
1980,271,2700181,0.756457564575646
1981,237,5193394,0.683544303797468
1982,249,3670793,0.614457831325301
Q1,162,3371850,0.685185185185185
Q2,289,3877067,0.709342560553633
Q3,340,4274305,0.632352941176471
Q4,192,2770311,0.697916666666667
