margSBLY,n,landing,coverage
BRG,6,0,1
MNT,88,3173,0.988636363636364
MRO,64,249,1
OSF,52,6694,1
HKL,1,0,1
NET,8,0,1
TWL,201,10116,0.995024875621891
1978,57,3106,0.982456140350877
1980,61,6429,1
1981,42,249,1
1982,50,332,1
Q1,43,698,0.976744186046512
Q2,73,0,1
Q3,54,332,1
Q4,40,9086,1
