"marginalBCAC","n","landing","coverage"
"BRG",6,172242,0.666666666666667
"MNT",88,4143365,0.738636363636364
"MRO",64,2733460,0.5625
"OSF",52,3117359,0.634615384615385
"HKL",1,0,1
"NET",8,145083,0.5
"TWL",201,10021343,0.661691542288557
"1978",57,1853861,0.771929824561403
"1980",61,4271945,0.60655737704918
"1981",42,2050399,0.5
"1982",50,1990221,0.72
"Q1",43,1875136,0.790697674418605
"Q2",73,3784254,0.63013698630137
"Q3",54,2761660,0.666666666666667
"Q4",40,1745376,0.55
