margBANK,n,landing,coverage
BDG,1,0,1
BRG,6,0,1
MNT,92,1032129,0.880434782608696
MRO,66,444659,0.909090909090909
OSF,63,65492,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,219,1542280,0.91324200913242
1978,57,385011,0.929824561403509
1980,61,5164,1
1981,42,670022,0.880952380952381
1982,50,452819,0.84
1983,18,29264,0.888888888888889
Q1,45,70292,0.955555555555556
Q2,79,381459,0.911392405063291
Q3,59,523624,0.915254237288136
Q4,45,566905,0.888888888888889
