"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,0.150306748466258
"CRS",50,0,0.2
"ERK",323,0,0.30030959752322
"MNT",108,0,0.0740740740740741
"MRO",138,125,0.210144927536232
"OSF",29,0,0.413793103448276
"HKL",110,125,0.181818181818182
"NET",6,0,0.833333333333333
"TWL",867,0,0.214532871972318
"1978",124,0,0.0725806451612903
"1979",102,125,0.235294117647059
"1980",271,0,0.291512915129151
"1981",237,0,0.0548523206751055
"1982",249,0,0.345381526104418
"Q1",162,0,0.197530864197531
"Q2",289,125,0.190311418685121
"Q3",340,0,0.161764705882353
"Q4",192,0,0.359375
