margWDOW,n,landing,coverage
BDG,9,13218,0.888888888888889
BRG,326,635196,0.776073619631902
CRS,50,182129,0.68
ERK,323,15744399,0.74922600619195
MNT,108,570494,0.740740740740741
MRO,138,219593,0.811594202898551
OSF,29,788477,0.827586206896552
HKL,110,208182,0.818181818181818
NET,6,10917,0.666666666666667
TWL,867,17934407,0.760092272202999
1978,124,749148,0.782258064516129
1979,102,2751370,0.764705882352941
1980,271,10708990,0.70479704797048
1981,237,3288416,0.738396624472574
1982,249,655582,0.85140562248996
Q1,162,4011229,0.709876543209877
Q2,289,4284190,0.761245674740484
Q3,340,4756660,0.823529411764706
Q4,192,5101427,0.71875
