margSSPN,n,landing,coverage
BDG,9,0,1
BRG,326,5376,0.993865030674847
CRS,50,0,1
ERK,323,250,0.708978328173375
MNT,108,1340,0.972222222222222
MRO,138,17160,0.949275362318841
OSF,29,1189,0.793103448275862
HKL,110,0,1
NET,6,0,1
TWL,867,25315,0.870818915801615
1978,124,250,0.991935483870968
1979,102,0,0.990196078431373
1980,271,6565,0.988929889298893
1981,237,0,0.852320675105485
1982,249,18500,0.710843373493976
Q1,162,1189,0.87037037037037
Q2,289,19275,0.889273356401384
Q3,340,4851,0.838235294117647
Q4,192,0,0.979166666666667
