margGSPT,n,landing,coverage
BDG,12,0,1
BRG,401,342084,0.817955112219451
CRS,60,23232,0.716666666666667
ERK,459,276396,0.89760348583878
MNT,163,18144,0.938650306748466
MRO,164,106281,0.798780487804878
OSF,36,26783,0.916666666666667
HKL,124,108515,0.733870967741935
NET,14,0,1
TWL,1157,684405,0.870354364736387
1978,124,27031,0.854838709677419
1979,102,91046,0.803921568627451
1980,271,81904,0.841328413284133
1981,237,329640,0.852320675105485
1982,249,145982,0.859437751004016
1983,312,117317,0.897435897435897
Q1,228,287068,0.850877192982456
Q2,390,189416,0.869230769230769
Q3,437,155848,0.85812356979405
Q4,240,160588,0.85
