"marginalBRWN","n","landing","coverage"
"BRG",6,0,0.166666666666667
"MNT",88,0,0.772727272727273
"MRO",64,3617,0.5625
"OSF",52,0,0.384615384615385
"HKL",1,0,0
"NET",8,0,0.75
"TWL",201,3617,0.592039800995025
"1978",57,0,0.666666666666667
"1980",61,0,0.540983606557377
"1981",42,0,0.595238095238095
"1982",50,3617,0.58
"Q1",43,3617,0.813953488372093
"Q2",73,0,0.410958904109589
"Q3",54,0,0.62962962962963
"Q4",40,0,0.65
