margOLVE,n,landing,coverage
BDG,31,3868,0.870967741935484
BRG,420,0,0.8
CRS,73,0,0.917808219178082
ERK,533,0,0.953095684803002
MNT,249,16896,0.919678714859438
MRO,201,25875,0.90547263681592
OSF,65,0,0.938461538461538
HKL,128,33491,0.859375
NET,24,8058,0.916666666666667
TWL,1420,5090,0.9
1978,124,0,0.870967741935484
1979,102,4165,0.745098039215686
1980,271,6674,0.833948339483395
1981,237,374,0.983122362869198
1982,249,14129,0.963855421686747
1983,312,21297,0.891025641025641
1984,277,0,0.898916967509025
Q1,277,3868,0.906137184115523
Q2,441,13074,0.893424036281179
Q3,534,28581,0.874531835205993
Q4,320,1116,0.93125
