margOLVE,n,landing,coverage
BDG,31,3868,0.967741935483871
BRG,420,0,1
CRS,73,0,1
ERK,533,0,1
MNT,249,16896,0.987951807228916
MRO,201,25875,0.965174129353234
OSF,65,0,1
HKL,128,33491,0.9375
NET,24,8058,0.958333333333333
TWL,1420,5090,0.998591549295775
1978,124,0,1
1979,102,4165,0.970588235294118
1980,271,6674,0.992619926199262
1981,237,374,0.9957805907173
1982,249,14129,0.991967871485944
1983,312,21297,0.990384615384615
1984,277,0,1
Q1,277,3868,0.996389891696751
Q2,441,13074,0.988662131519274
Q3,534,28581,0.99438202247191
Q4,320,1116,0.99375
