margRDBD,n,landing,coverage
BDG,31,0,1
BRG,420,85858,0.947619047619048
CRS,73,155323,0.726027397260274
ERK,533,380649,0.801125703564728
MNT,249,471,0.995983935742972
MRO,201,16346,0.925373134328358
OSF,65,0,1
HKL,128,8589,0.9453125
NET,24,1748,0.958333333333333
TWL,1420,628310,0.890140845070423
1978,124,19636,0.895161290322581
1979,102,15938,0.892156862745098
1980,271,48975,0.929889298892989
1981,237,264477,0.919831223628692
1982,249,16910,0.931726907630522
1983,312,193803,0.846153846153846
1984,277,78908,0.866425992779783
Q1,277,139526,0.92057761732852
Q2,441,163820,0.904761904761905
Q3,534,294801,0.863295880149813
Q4,320,40500,0.915625
