margSABL,n,landing,coverage
BDG,4,0,0
BRG,6,0,1
MNT,95,4753,0.315789473684211
MRO,66,0,0.181818181818182
OSF,63,0,0.142857142857143
HKL,1,0,0
NET,8,0,0.125
TWL,225,4753,0.248888888888889
1978,57,4753,0.421052631578947
1980,61,0,0.245901639344262
1981,42,0,0.0476190476190476
1982,50,0,0.3
1983,18,0,0.0555555555555556
1984,6,0,0
Q1,51,4753,0.0588235294117647
Q2,79,0,0.253164556962025
Q3,59,0,0.474576271186441
Q4,45,0,0.133333333333333
