margSSPN,n,landing,coverage
BDG,9,0,1
BRG,326,5376,0.898773006134969
CRS,50,0,0.9
ERK,323,250,0.996904024767802
MNT,108,1340,0.824074074074074
MRO,138,17160,0.963768115942029
OSF,29,1189,0.827586206896552
HKL,110,0,1
NET,6,0,1
TWL,867,25315,0.92156862745098
1978,124,250,0.991935483870968
1979,102,0,1
1980,271,6565,0.922509225092251
1981,237,0,0.907172995780591
1982,249,18500,0.903614457831325
Q1,162,1189,0.944444444444444
Q2,289,19275,0.913494809688581
Q3,340,4851,0.952941176470588
Q4,192,0,0.90625
