margSHRP,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,3698,0.266871165644172
CRS,50,0,0.36
ERK,323,0,0.294117647058824
MNT,108,0,0.351851851851852
MRO,138,0,0.210144927536232
OSF,29,0,0.172413793103448
HKL,110,0,0.218181818181818
NET,6,0,0.333333333333333
TWL,867,3698,0.289504036908881
1978,124,0,0.0806451612903226
1979,102,3698,0.382352941176471
1980,271,0,0.22140221402214
1981,237,0,0.29535864978903
1982,249,0,0.393574297188755
Q1,162,0,0.222222222222222
Q2,289,0,0.214532871972318
Q3,340,1139,0.291176470588235
Q4,192,2559,0.416666666666667
