margSBLY,n,landing,coverage
BDG,9,6313,0.888888888888889
BRG,326,387,0.993865030674847
CRS,50,0,1
ERK,323,0,0.278637770897833
MNT,108,900,0.990740740740741
MRO,138,0,0.956521739130435
OSF,29,0,1
HKL,110,0,0.918181818181818
NET,6,0,1
TWL,867,7600,0.730103806228374
1978,124,387,0.790322580645161
1979,102,0,0.784313725490196
1980,271,0,0.808118081180812
1981,237,0,0.839662447257384
1982,249,7213,0.578313253012048
Q1,162,0,1
Q2,289,6588,0.588235294117647
Q3,340,112,0.761764705882353
Q4,192,900,0.776041666666667
