margREYE,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.159509202453988
CRS,50,0,0.04
ERK,323,0,0.1671826625387
MNT,108,0,0.203703703703704
MRO,138,0,0.115942028985507
OSF,29,0,0.0344827586206897
HKL,110,0,0.127272727272727
NET,6,0,0.5
TWL,867,0,0.155709342560554
1978,124,0,0.233870967741935
1979,102,0,0.176470588235294
1980,271,0,0.0811808118081181
1981,237,0,0.227848101265823
1982,249,0,0.116465863453815
Q1,162,0,0.203703703703704
Q2,289,0,0.141868512110727
Q3,340,0,0.126470588235294
Q4,192,0,0.182291666666667
