margBRWN,n,landing,coverage
BDG,56,0,1
BRG,457,4315,0.99562363238512
CRS,82,0,1
ERK,594,1434,0.996632996632997
MNT,344,1224,0.997093023255814
MRO,266,144491,0.996240601503759
OSF,104,61536,0.971153846153846
HKL,138,35728,0.992753623188406
NET,47,27032,0.957446808510638
TWL,1718,150240,0.9965075669383
1978,124,0,0.991935483870968
1979,102,0,1
1980,271,181604,0.988929889298893
1981,237,2930,0.9957805907173
1982,249,1394,0.995983935742972
1983,312,40,0.996794871794872
1984,277,25808,0.996389891696751
1985,331,1224,0.996978851963746
Q1,339,0,0.997050147492625
Q2,531,36992,0.994350282485876
Q3,645,30123,0.995348837209302
Q4,388,145885,0.994845360824742
