margGSRK,n,landing,coverage
BDG,12,45632,0.75
BRG,401,251652,0.882793017456359
CRS,60,35815,0.85
ERK,459,40163,0.910675381263617
MNT,163,20417,0.926380368098159
MRO,164,1308,0.969512195121951
OSF,36,0,1
HKL,124,2205,0.951612903225806
NET,14,0,1
TWL,1157,392782,0.904062229904927
1978,124,20436,0.82258064516129
1979,102,8874,0.892156862745098
1980,271,224858,0.92619926199262
1981,237,23860,0.936708860759494
1982,249,76650,0.943775100401606
1983,312,40309,0.887820512820513
Q1,228,209662,0.951754385964912
Q2,390,92517,0.912820512820513
Q3,437,57752,0.887871853546911
Q4,240,35056,0.904166666666667
