"marginalEGLS","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,0.420245398773006
"CRS",50,0,0.12
"ERK",323,0,0.365325077399381
"MNT",108,1398,0.231481481481481
"MRO",138,0,0.405797101449275
"OSF",29,0,0.413793103448276
"HKL",110,0,0.472727272727273
"NET",6,0,0.166666666666667
"TWL",867,1398,0.354094579008074
"1978",124,0,0.32258064516129
"1979",102,0,0.411764705882353
"1980",271,1398,0.29520295202952
"1981",237,0,0.476793248945148
"1982",249,0,0.34136546184739
"Q1",162,0,0.111111111111111
"Q2",289,0,0.456747404844291
"Q3",340,1398,0.405882352941176
"Q4",192,0,0.375
