"marginalEGLS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.914110429447853
"CRS",50,0,0.72
"ERK",323,0,0.888544891640867
"MNT",108,1398,0.888888888888889
"MRO",138,0,0.934782608695652
"OSF",29,0,1
"HKL",110,0,0.936363636363636
"NET",6,0,0.833333333333333
"TWL",867,1398,0.895040369088812
"1978",124,0,0.685483870967742
"1979",102,0,1
"1980",271,1398,0.944649446494465
"1981",237,0,0.983122362869198
"1982",249,0,0.835341365461847
"Q1",162,0,0.981481481481482
"Q2",289,0,0.875432525951557
"Q3",340,1398,0.85
"Q4",192,0,0.953125
