"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.222222222222222
"BRG",326,0,0.239263803680982
"CRS",50,0,0.36
"ERK",323,0,0.436532507739938
"MNT",108,0,0.222222222222222
"MRO",138,0,0.297101449275362
"OSF",29,0,0.0689655172413793
"HKL",110,0,0.209090909090909
"NET",6,0,0.333333333333333
"TWL",867,2766,0.324106113033449
"1978",124,0,0.379032258064516
"1979",102,0,0.127450980392157
"1980",271,0,0.261992619926199
"1981",237,2766,0.0928270042194093
"1982",249,0,0.614457831325301
"Q1",162,0,0.277777777777778
"Q2",289,0,0.28719723183391
"Q3",340,0,0.229411764705882
"Q4",192,2766,0.520833333333333
