margSSPN,n,landing,coverage
BDG,9,0,1
BRG,326,5376,0.932515337423313
CRS,50,0,0.94
ERK,323,250,0.885448916408669
MNT,108,1340,0.944444444444444
MRO,138,17160,0.876811594202899
OSF,29,1189,0.96551724137931
HKL,110,0,0.990909090909091
NET,6,0,1
TWL,867,25315,0.901960784313726
1978,124,250,0.846774193548387
1979,102,0,0.990196078431373
1980,271,6565,0.867158671586716
1981,237,0,0.890295358649789
1982,249,18500,0.983935742971888
Q1,162,1189,0.987654320987654
Q2,289,19275,0.878892733564014
Q3,340,4851,0.861764705882353
Q4,192,0,0.989583333333333
