margBCAC,n,landing,coverage
BDG,9,689945,0.666666666666667
BRG,326,4401338,0.950920245398773
CRS,50,570089,0.96
ERK,323,2934116,0.938080495356037
MNT,108,2426405,0.907407407407407
MRO,138,1605793,0.86231884057971
OSF,29,1665847,0.758620689655172
HKL,110,906394,0.9
NET,6,20053,1
TWL,867,13367086,0.923875432525952
1978,124,1320166,0.935483870967742
1979,102,1408999,0.941176470588235
1980,271,2700181,0.940959409594096
1981,237,5193394,0.919831223628692
1982,249,3670793,0.887550200803213
Q1,162,3371850,0.907407407407407
Q2,289,3877067,0.920415224913495
Q3,340,4274305,0.917647058823529
Q4,192,2770311,0.942708333333333
