margLCOD,n,landing,coverage
BRG,6,0,1
MNT,88,31899,0.863636363636364
MRO,64,90630,0.921875
OSF,52,0,1
HKL,1,0,0
NET,8,5650,0.625
TWL,201,116879,0.935323383084577
1978,57,31899,0.789473684210526
1980,61,90630,0.918032786885246
1981,42,0,1
1982,50,0,1
Q1,43,2380,0.930232558139535
Q2,73,23340,0.904109589041096
Q3,54,86131,0.888888888888889
Q4,40,10678,0.975
