margBCAC,n,landing,coverage
BRG,6,172242,0.666666666666667
MNT,88,4143365,0.738636363636364
MRO,64,2733460,0.578125
OSF,52,3117359,0.557692307692308
HKL,1,0,1
NET,8,145083,0.75
TWL,201,10021343,0.63681592039801
1978,57,1853861,0.754385964912281
1980,61,4271945,0.540983606557377
1981,42,2050399,0.5
1982,50,1990221,0.76
Q1,43,1875136,0.767441860465116
Q2,73,3784254,0.643835616438356
Q3,54,2761660,0.666666666666667
Q4,40,1745376,0.475
