margBANK,n,landing,coverage
BDG,33,0,0.545454545454545
BRG,26,0,0.307692307692308
CRS,7,0,0.714285714285714
ERK,99,0,0.383838383838384
MNT,12,0,0.916666666666667
MRO,3,0,1
OSF,22,3827,0.909090909090909
TWL,202,3827,0.50990099009901
1981,37,0,0.675675675675676
1982,92,0,0.565217391304348
1983,73,3827,0.356164383561644
Q1,51,0,0.352941176470588
Q2,35,0,0.0571428571428571
Q3,59,0,0.694915254237288
Q4,57,3827,0.736842105263158
