margREX,n,landing,coverage
BDG,31,0,0.483870967741935
BRG,420,0,0.130952380952381
CRS,73,0,0.438356164383562
ERK,533,0,0.178236397748593
MNT,249,0,0.269076305220884
MRO,201,0,0.253731343283582
OSF,65,3731,0.230769230769231
HKL,128,0,0.2421875
NET,24,0,0.0833333333333333
TWL,1420,3731,0.209154929577465
1978,124,0,0.0806451612903226
1979,102,0,0.235294117647059
1980,271,0,0.284132841328413
1981,237,0,0.320675105485232
1982,249,3731,0.172690763052209
1983,312,0,0.128205128205128
1984,277,0,0.216606498194946
Q1,277,0,0.184115523465704
Q2,441,3731,0.179138321995465
Q3,534,0,0.234082397003745
Q4,320,0,0.234375
