margREX,n,landing,coverage
BDG,31,0,1
BRG,420,0,0.857142857142857
CRS,73,0,0.821917808219178
ERK,533,0,0.947467166979362
MNT,249,0,0.951807228915663
MRO,201,0,0.950248756218905
OSF,65,3731,0.984615384615385
HKL,128,0,0.9140625
NET,24,0,0.833333333333333
TWL,1420,3731,0.923239436619718
1978,124,0,0.854838709677419
1979,102,0,0.843137254901961
1980,271,0,0.856088560885609
1981,237,0,1
1982,249,3731,0.971887550200803
1983,312,0,0.996794871794872
1984,277,0,0.844765342960289
Q1,277,0,0.971119133574007
Q2,441,3731,0.789115646258503
Q3,534,0,0.98501872659176
Q4,320,0,0.953125
