"marginalSNOS","n","landing","coverage"
"BRG",6,0,1
"MNT",88,71378,0.693181818181818
"MRO",64,47808,0.890625
"OSF",52,158984,0.942307692307692
"HKL",1,0,1
"NET",8,0,1
"TWL",201,278170,0.81592039800995
"1978",57,50211,0.666666666666667
"1980",61,168209,0.934426229508197
"1981",42,21220,0.880952380952381
"1982",50,38530,0.82
"Q1",43,8320,0.86046511627907
"Q2",73,40100,0.876712328767123
"Q3",54,38026,0.796296296296296
"Q4",40,191724,0.725
