margBRWN,n,landing,coverage
BRG,6,0,0
MNT,88,0,0.170454545454545
MRO,64,3617,0.296875
OSF,52,0,0.653846153846154
HKL,1,0,0
NET,8,0,0.25
TWL,201,3617,0.328358208955224
1978,57,0,0.192982456140351
1980,61,0,0.327868852459016
1981,42,0,0.5
1982,50,3617,0.32
Q1,43,3617,0.255813953488372
Q2,73,0,0.26027397260274
Q3,54,0,0.333333333333333
Q4,40,0,0.5
