margMXRF,n,landing,coverage
BDG,12,0,1
BRG,401,15828,0.99501246882793
CRS,60,0,0.9
ERK,459,0,0.854030501089325
MNT,163,0,0.748466257668712
MRO,164,0,0.835365853658537
OSF,36,0,0.833333333333333
HKL,124,0,0.838709677419355
NET,14,0,0.571428571428571
TWL,1157,15828,0.893690579083838
1978,124,0,0.879032258064516
1979,102,0,0.92156862745098
1980,271,15828,0.992619926199262
1981,237,0,0.928270042194093
1982,249,0,0.923694779116466
1983,312,0,0.717948717948718
Q1,228,0,0.855263157894737
Q2,390,6676,0.958974358974359
Q3,437,9152,0.789473684210526
Q4,240,0,0.966666666666667
