margMXRF,n,landing,coverage
BDG,12,0,0.583333333333333
BRG,401,15828,0.264339152119701
CRS,60,0,0.266666666666667
ERK,459,0,0.405228758169935
MNT,163,0,0.159509202453988
MRO,164,0,0.231707317073171
OSF,36,0,0.277777777777778
HKL,124,0,0.32258064516129
NET,14,0,0.214285714285714
TWL,1157,15828,0.2990492653414
1978,124,0,0.282258064516129
1979,102,0,0.431372549019608
1980,271,15828,0.357933579335793
1981,237,0,0.253164556962025
1982,249,0,0.261044176706827
1983,312,0,0.282051282051282
Q1,228,0,0.12719298245614
Q2,390,6676,0.446153846153846
Q3,437,9152,0.217391304347826
Q4,240,0,0.379166666666667
