margCLPR,n,landing,coverage
BDG,9,160601,0.777777777777778
BRG,326,5460561,0.53680981595092
CRS,50,18822,0.98
ERK,323,1278213,0.900928792569659
MNT,108,1573782,0.685185185185185
MRO,138,841860,0.710144927536232
OSF,29,837157,0.655172413793103
HKL,110,597138,0.727272727272727
NET,6,0,1
TWL,867,9573858,0.72318339100346
1978,124,1172492,0.661290322580645
1979,102,2327247,0.57843137254902
1980,271,2560887,0.701107011070111
1981,237,2252765,0.79746835443038
1982,249,1857605,0.775100401606426
Q1,162,2134234,0.697530864197531
Q2,289,2254890,0.782006920415225
Q3,340,3183438,0.723529411764706
Q4,192,2598434,0.666666666666667
