margCLPR,n,landing,coverage
BDG,9,160601,1
BRG,326,5460561,0.917177914110429
CRS,50,18822,1
ERK,323,1278213,0.987616099071207
MNT,108,1573782,0.925925925925926
MRO,138,841860,0.956521739130435
OSF,29,837157,0.96551724137931
HKL,110,597138,0.936363636363636
NET,6,0,1
TWL,867,9573858,0.955017301038062
1978,124,1172492,0.991935483870968
1979,102,2327247,0.852941176470588
1980,271,2560887,0.944649446494465
1981,237,2252765,0.970464135021097
1982,249,1857605,0.967871485943775
Q1,162,2134234,0.969135802469136
Q2,289,2254890,0.958477508650519
Q3,340,3183438,0.952941176470588
Q4,192,2598434,0.932291666666667
