margYTRK,n,landing,coverage
BDG,9,4003,1
BRG,326,492844,0.969325153374233
CRS,50,465516,0.88
ERK,323,885402,0.891640866873065
MNT,108,333889,0.824074074074074
MRO,138,199364,0.91304347826087
OSF,29,55138,1
HKL,110,571560,0.872727272727273
NET,6,31893,0.333333333333333
TWL,867,1832703,0.926182237600923
1978,124,618089,0.903225806451613
1979,102,154519,0.941176470588235
1980,271,242145,0.937269372693727
1981,237,767033,0.915611814345992
1982,249,654370,0.891566265060241
Q1,162,493422,0.932098765432099
Q2,289,309370,0.937716262975779
Q3,340,1084024,0.920588235294118
Q4,192,549340,0.864583333333333
