margBLUR,n,landing,coverage
BDG,31,0,1
BRG,420,0,1
CRS,73,0,0.945205479452055
ERK,533,0,0.9906191369606
MNT,249,0,0.991967871485944
MRO,201,0,0.965174129353234
OSF,65,0,0.938461538461538
HKL,128,0,0.8984375
NET,24,0,0.958333333333333
TWL,1420,0,0.994366197183099
1978,124,0,1
1979,102,0,0.950980392156863
1980,271,0,0.992619926199262
1981,237,0,0.9957805907173
1982,249,0,0.971887550200803
1983,312,0,0.980769230769231
1984,277,0,0.996389891696751
Q1,277,0,0.978339350180505
Q2,441,0,0.990929705215419
Q3,534,0,0.98689138576779
Q4,320,0,0.984375
