"marginalKLPG","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,337,0.261363636363636
"MRO",64,0,0.28125
"OSF",52,0,0.442307692307692
"HKL",1,0,0
"NET",8,337,0.125
"TWL",201,0,0.323383084577114
"1978",57,337,0.175438596491228
"1980",61,0,0.295081967213115
"1981",42,0,0.357142857142857
"1982",50,0,0.46
"Q1",43,0,0.581395348837209
"Q2",73,337,0.219178082191781
"Q3",54,0,0.203703703703704
"Q4",40,0,0.35
