"marginalSSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,5376,0.730061349693252
"CRS",50,0,0.96
"ERK",323,250,0.538699690402477
"MNT",108,1340,0.666666666666667
"MRO",138,17160,0.710144927536232
"OSF",29,1189,0.827586206896552
"HKL",110,0,0.936363636363636
"NET",6,0,0
"TWL",867,25315,0.645905420991926
"1978",124,250,0.685483870967742
"1979",102,0,0.990196078431373
"1980",271,6565,0.608856088560886
"1981",237,0,0.687763713080169
"1982",249,18500,0.598393574297189
"Q1",162,1189,0.888888888888889
"Q2",289,19275,0.55363321799308
"Q3",340,4851,0.791176470588235
"Q4",192,0,0.46875
