margMXRF,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,15828,0.349693251533742
CRS,50,0,0.4
ERK,323,0,0.430340557275542
MNT,108,0,0.240740740740741
MRO,138,0,0.550724637681159
OSF,29,0,0.344827586206897
HKL,110,0,0.681818181818182
NET,6,0,0.333333333333333
TWL,867,15828,0.364475201845444
1978,124,0,0.556451612903226
1979,102,0,0.382352941176471
1980,271,15828,0.228782287822878
1981,237,0,0.50210970464135
1982,249,0,0.417670682730924
Q1,162,0,0.462962962962963
Q2,289,6676,0.525951557093426
Q3,340,9152,0.214705882352941
Q4,192,0,0.484375
