margBLCK,n,landing,coverage
BDG,31,0,1
BRG,420,1297,0.997619047619048
CRS,73,175058,0.931506849315068
ERK,533,2002903,0.834896810506567
MNT,249,20,0.995983935742972
MRO,201,66,0.995024875621891
OSF,65,0,0.984615384615385
HKL,128,313477,0.9296875
NET,24,0,1
TWL,1420,1865867,0.938028169014084
1978,124,232338,0.951612903225806
1979,102,238,0.980392156862745
1980,271,103623,0.940959409594096
1981,237,984858,0.932489451476793
1982,249,368675,0.895582329317269
1983,312,275084,0.939102564102564
1984,277,214528,0.956678700361011
Q1,277,697135,0.963898916967509
Q2,441,558137,0.927437641723356
Q3,534,385414,0.934456928838951
Q4,320,538658,0.9375
