species,mad
GBLC,2.82088758108762e-05
GSRK,2.85620636017234e-05
PNKR,2.85673138391437e-05
SNOS,2.97955520890001e-05
SBLY,3.10999627206144e-05
STRK,3.37121422519703e-05
WDOW,3.43124068430565e-05
RDBD,3.5579041640075e-05
SPKL,3.63019518785403e-05
BLUR,3.66340972546864e-05
GSPT,3.77171659142465e-05
CLPR,3.94555820840049e-05
ARRA,4.01470283181021e-05
OLVE,4.11005148471503e-05
CNRY,4.20964250094131e-05
VRML,4.21275385784094e-05
FLAG,4.28449173482673e-05
BLGL,4.35379514867738e-05
KLPG,4.55990196820238e-05
YTRK,4.68518232820484e-05
BRWN,5.03167795120826e-05
CWCD,5.69807953481868e-05
TIGR,5.70333990083236e-05
DBRK,5.72941772534266e-05
SHRP,5.8851528142836e-05
BANK,7.34818968900767e-05
BCAC,7.85601364014929e-05
