margKLPG,n,landing,coverage
BDG,1,0,0
BRG,6,0,0
MNT,92,337,0.358695652173913
MRO,66,0,0.409090909090909
OSF,63,0,0.0634920634920635
HKL,1,0,1
NET,8,337,0.75
TWL,219,0,0.26027397260274
1978,57,337,0.385964912280702
1980,61,0,0.295081967213115
1981,42,0,0.380952380952381
1982,50,0,0.14
1983,18,0,0.0555555555555556
Q1,45,0,0.333333333333333
Q2,79,337,0.30379746835443
Q3,59,0,0.23728813559322
Q4,45,0,0.244444444444444
