margSWSP,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.199386503067485
CRS,50,0,0.16
ERK,323,0,0.554179566563467
MNT,108,0,0.268518518518519
MRO,138,0,0.528985507246377
OSF,29,0,0.379310344827586
HKL,110,0,0.754545454545455
NET,6,0,0
TWL,867,0,0.329873125720877
1978,124,0,0.379032258064516
1979,102,0,0.323529411764706
1980,271,0,0.217712177121771
1981,237,0,0.641350210970464
1982,249,0,0.313253012048193
Q1,162,0,0.561728395061728
Q2,289,0,0.429065743944637
Q3,340,0,0.364705882352941
Q4,192,0,0.15625
