"marginalOLVE","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,0.690184049079755
"CRS",50,0,0.46
"ERK",323,0,0.795665634674923
"MNT",108,7525,0.759259259259259
"MRO",138,17817,0.942028985507246
"OSF",29,0,0.758620689655172
"HKL",110,24120,0.936363636363636
"NET",6,0,1
"TWL",867,1222,0.73356401384083
"1978",124,0,0.653225806451613
"1979",102,4165,0.803921568627451
"1980",271,6674,0.907749077490775
"1981",237,374,0.675105485232067
"1982",249,14129,0.706827309236948
"Q1",162,0,0.746913580246914
"Q2",289,5016,0.799307958477509
"Q3",340,19210,0.697058823529412
"Q4",192,1116,0.8125
