margSSPN,n,landing,coverage
BDG,31,7363,0.967741935483871
BRG,420,5376,0.995238095238095
CRS,73,302,0.972602739726027
ERK,533,273,0.99624765478424
MNT,249,1406,0.983935742971888
MRO,201,30166,0.955223880597015
OSF,65,1189,0.984615384615385
HKL,128,0,1
NET,24,0,1
TWL,1420,46075,0.985211267605634
1978,124,250,0.991935483870968
1979,102,0,1
1980,271,6565,0.988929889298893
1981,237,0,1
1982,249,18500,0.987951807228916
1983,312,3471,0.990384615384615
1984,277,17289,0.96028880866426
Q1,277,13596,0.978339350180505
Q2,441,19275,0.988662131519274
Q3,534,13124,0.98689138576779
Q4,320,80,0.990625
