margCLPR,n,landing,coverage
BRG,6,317971,0.833333333333333
MNT,88,2036206,0.704545454545455
MRO,64,1562999,0.703125
OSF,52,2265596,0.692307692307692
HKL,1,0,1
NET,8,0,1
TWL,201,6182772,0.691542288557214
1978,57,856923,0.789473684210526
1980,61,2760555,0.672131147540984
1981,42,1498391,0.69047619047619
1982,50,1066903,0.66
Q1,43,1297371,0.697674418604651
Q2,73,1890665,0.684931506849315
Q3,54,1617800,0.777777777777778
Q4,40,1376936,0.65
