margCLPR,n,landing,coverage
BRG,6,317971,1
MNT,88,2036206,0.965909090909091
MRO,64,1562999,0.90625
OSF,52,2265596,0.903846153846154
HKL,1,0,1
NET,8,0,1
TWL,201,6182772,0.930348258706468
1978,57,856923,0.982456140350877
1980,61,2760555,0.885245901639344
1981,42,1498391,0.904761904761905
1982,50,1066903,0.96
Q1,43,1297371,0.930232558139535
Q2,73,1890665,0.958904109589041
Q3,54,1617800,0.944444444444444
Q4,40,1376936,0.875
