margTIGR,n,landing,coverage
BDG,4,0,0
BRG,6,0,0.166666666666667
MNT,95,0,0.389473684210526
MRO,77,0,0.532467532467532
OSF,63,4022,0.301587301587302
HKL,1,0,1
NET,8,0,0.125
TWL,236,4022,0.406779661016949
1978,57,0,0.245614035087719
1980,61,0,0.540983606557377
1981,42,4022,0.476190476190476
1982,50,0,0.4
1983,18,0,0.222222222222222
1984,6,0,0
1985,11,0,0.636363636363636
Q1,55,0,0.236363636363636
Q2,86,0,0.395348837209302
Q3,59,0,0.389830508474576
Q4,45,4022,0.622222222222222
